Product Name,Price,Discount Percentage,Currency,Rating,Number of Reviews,Availability Status,Seller Information,Product URL
"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) FA566NFR-HN260W Gaming Laptop  (15.6 inch, Graphite Black, 2.30 Kg)","58,990",16%,INR,4,3,Available,SVPeripherals,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn260w-laptop/p/itm2a919c4c5047a?pid=COMHFT2NBDET7GJX&lid=LSTCOMHFT2NBDET7GJXKL60AC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMV4eGMj75bno7eW5CndjRCIHWhTkJV87e-0E-eeqspSuBhTy0lUJ14SzoMSv_CzLF0%3D&ssid=2rclky4yykvp2ccg1724252829045
"ASUS Vivobook 16X Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) K3605ZC-MBN543WS Gaming Laptop  (16 inch, Indie Black, 1.8 Kg, With MS Office)","69,990",19%,INR,4.4,2,Available,SVPeripherals,https://www.flipkart.com/asus-vivobook-16x-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-k3605zc-mbn543ws-gaming-laptop/p/itm739e07ec40ae0?pid=COMGSUZBJQZGGCJZ&lid=LSTCOMGSUZBJQZGGCJZDULU1R&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMXfsaliC4rRcT9DOogr5FVHMZ834qW9UWlb9Y3L-YD6AH3Gaq_wzx4HJysDmGalzMk%3D&ssid=2rclky4yykvp2ccg1724252829045
"Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light Laptop  (15.6 Inch, Mineral Grey, 1.70 Kg)","28,660",51%,INR,4.4,3,Available,ElectronicsEstore,https://www.flipkart.com/lenovo-amd-ryzen-3-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm65936d217ef8a?pid=COMGT82X9NYWSXQ7&lid=LSTCOMGT82X9NYWSXQ7FXFDP2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGT82X9NYWSXQ7.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin and Light Laptop  (15.6 Inch, Icelight Silver, 1.70 kg, With MS Office)","33,990",40%,INR,4.3,336,Available,SVPeripherals,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej953ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZKHQ8BXZFBUT&lid=LSTCOMGZKHQ8BXZFBUTEXWMPL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGZKHQ8BXZFBUT.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","41,490",21%,INR,4.2,490,Available,IndiFlashMart,https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-15s-fy5004tu-thin-light-laptop/p/itm02564528377fe?pid=COMGQY48KGHRAF3B&lid=LSTCOMGQY48KGHRAF3BRCYCYH&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=b_1_15&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGQY48KGHRAF3B.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","41,990",28%,INR,4.3,261,Available,IndiFlashMart,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm2f070129053ed?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CBGKRA6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGFRHGDB9G3Z9C.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA506NC-HN083W Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 Kg)","68,990",13%,INR,4.2,4,Available,SVPeripherals,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa506nc-hn083w-laptop/p/itm10514ecd2a794?pid=COMHFK2T3KCHKAFU&lid=LSTCOMHFK2T3KCHKAFUOEIOAP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMVvZjnMnvtqta9ROgoT69v2M3EHlqUOBQF0mkkPImU2ZOvN4Mn-dv-pi277bRzMbnY%3D&ssid=2rclky4yykvp2ccg1724252829045
"AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop  (15.6 inch, Space Grey)","16,328",51%,INR,3.8,4,Available,Nuage Techsol Pvt Ltd,https://www.flipkart.com/axl-intel-celeron-dual-core-9th-gen-4-gb-256-gb-ssd-windows-11-home-15w-lap02-thin-light-laptop/p/itm50377e8d175f3?pid=COMGPXFVFZSH9FYX&lid=LSTCOMGPXFVFZSH9FYXLGV3ST&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMWFEZZJcKQSrYSWLK1GgbI_d4qvSjLRfreqW_4xIpaFlQ%3D%3D&ssid=2rclky4yykvp2ccg1724252829045
"HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and Light Laptop  (15.6 inch, Star Black, 1.69 Kg)","52,990",15%,INR,4.2,126,Available,SVPeripherals,https://www.flipkart.com/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-15-fd0111tu-thin-light-laptop/p/itm5b5f94f7b044c?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWMMNYA0K&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGXNZGJV3MEMWM.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"Acer Swift Go 14 EVO OLED (2024) Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-58UB Thin and Light Laptop  (14 Inch, Pure Silver, 1.25 Kg, With MS Office)","56,990",39%,INR,4.3,148,Available,IndiFlashMart,https://www.flipkart.com/acer-swift-go-14-evo-oled-2024-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-sfg14-71-58ub-thin-light-laptop/p/itm0a080194d6dd1?pid=COMGZKGGAHZBA3WY&lid=LSTCOMGZKGGAHZBA3WYWOBYJC&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_20&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGZKGGAHZBA3WY.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
